idx,image,exact,canonical_exact,edit_similarity,error_type,ref_len,pred_len,ref,pred,ref_canonical,pred_canonical
47,63a2608987.png,0,0,94.928,semantic_or_token_error,135,138,"\phi\Big[\beta,a,b,c,d\Big]=\phi_{0}^{\beta}+a\,\phi_{0}^{\beta+1}+b\,\phi_{0}^{\beta+2}+c\,\phi_{0}^{\beta+3}+d\,\phi_{0}^{\beta+4}\;.","\phi\left[\beta,a,b,c,d\right]=\phi_{0}^{\beta}+a\,\phi_{0}^{\beta+1}+b\,\phi_{0}^{\beta+2}+c\,\phi_{0}^{\beta+3}+d\,\phi_{0}^{\beta+4}\;.","\phi\Big[\beta,a,b,c,d\Big]=\phi_0^{\beta+a\phi_0^{\beta+1+b\phi_0^{\beta+2+c\phi_0^{\beta+3+d\phi_0^{\beta+4}.","\phi[\beta,a,b,c,d]=\phi_0^{\beta+a\phi_0^{\beta+1+b\phi_0^{\beta+2+c\phi_0^{\beta+3+d\phi_0^{\beta+4}."
48,7a672b3ac0.png,0,0,87.755,semantic_or_token_error,45,49,"t_{1}=T~~,\hspace{2cm}t_{2}=-\frac{S}{2\pii},","t_{1}=T\;\;\;,\hspace{2cm}t_{2}=-\frac{S}{2\pii},","t_{1=T~~,\hspace{2cm}t_{2=-\frac{S}{2\pii,","t_{1=T,\hspace{2cm}t_{2=-\frac{S}{2\pii,"
49,4c986ebb34.png,0,0,80.723,semantic_or_token_error,83,71,B_{p}(\beta)=\operatorname{dim}\{\operatorname{ker}\Delta_{\beta}\cap\Lambda^{p}\}.,B_{p}(\beta)=\mathrm{dim}\{\mathrm{ker}\Delta_{\beta}\cap\Lambda^{p}\}.,B_{p}(\beta)=\operatorname{dim}\\operatorname{ker}\Delta_{\beta}\cap\Lambda^{p}\}.,B_{p}(\beta)=\mathrm{dim}\\mathrm{ker}\Delta_{\beta}\cap\Lambda^{p}\}.
50,15329206b1.png,1,1,100.0,exact,122,122,\frac{1}{2}\left(1+\sqrt{\frac{j\left(j+1\right)-\alpha^{2}}{4}}\right)\mp\frac{i\alphaE}{\sqrt{E^{2}-\frac{m^{2}}{4}}}=-n,\frac{1}{2}\left(1+\sqrt{\frac{j\left(j+1\right)-\alpha^{2}}{4}}\right)\mp\frac{i\alphaE}{\sqrt{E^{2}-\frac{m^{2}}{4}}}=-n,\frac{1}{2}(1+\sqrt\frac{j(j+1)-\alpha^{2}{4)\mp\frac{i\alphaE}\sqrt{E^{2-\frac{m^{2}{4=-n,\frac{1}{2}(1+\sqrt\frac{j(j+1)-\alpha^{2}{4)\mp\frac{i\alphaE}\sqrt{E^{2-\frac{m^{2}{4=-n
51,36b2d3fb20.png,0,0,89.744,semantic_or_token_error,75,78,"\hat{g}=-(dx^{0})^{2}+(dx^{1})^{2}+\Big(dr^{2}+r^{2}d\Omega_{8}^{2}\Big)\;,","\hat{g}=-(dx^{0})^{2}+(dx^{1})^{2}+\left(dr^{2}+r^{2}d\Omega_{8}^{2}\right)\,,","\hat{g=-(dx^{0)^{2+(dx^{1)^{2+\Big(dr^{2+r^{2}d\Omega_8^{2}\Big),","\hat{g=-(dx^{0)^{2+(dx^{1)^{2+(dr^{2+r^{2}d\Omega_8^{2),"
52,71361ce21f.png,0,0,98.592,almost_correct,71,70,"(-1)^{m\cdot|a|}[a,b\cupc]=[a,b]\cupc+(-1)^{(|b|\cdot|c|+m)}[a,c]\cupb.","(-1)^{m\cdot|a|}[a,b\cupc]=[a,b]\cupc+(-1)^{(|b|\cdot|c+m)}[a,c]\cupb.","(-1)^{m\cdot|a|}[a,b\cupc]=[a,b]\cupc+(-1)^{(|b|\cdot|c|+m)}[a,c]\cupb.","(-1)^{m\cdot|a|}[a,b\cupc]=[a,b]\cupc+(-1)^{(|b|\cdot|c+m)}[a,c]\cupb."
53,23d91c1744.png,1,1,100.0,exact,103,103,"\operatorname*{lim}_{t\rightarrow-\infty}(f(x),\phi(x-t))=L_{0}^{-1}[f]\int_{-\infty}^{\infty}\phi(x)dx","\operatorname*{lim}_{t\rightarrow-\infty}(f(x),\phi(x-t))=L_{0}^{-1}[f]\int_{-\infty}^{\infty}\phi(x)dx","\operatorname*{lim_{tarrow-\infty}(f(x),\phi(x-t))=L_0^{-1}[f]\int_{-\infty^{\infty}\phi(x)dx","\operatorname*{lim_{tarrow-\infty}(f(x),\phi(x-t))=L_0^{-1}[f]\int_{-\infty^{\infty}\phi(x)dx"
54,31c875f0d6.png,1,1,100.0,exact,49,49,I(a)=\kappa\int_{0}^{2a}{\frac{u^{3}}{2}}g_{2}(u),I(a)=\kappa\int_{0}^{2a}{\frac{u^{3}}{2}}g_{2}(u),I(a)=\kappa\int_0^{2a}\frac{u^{3}{2}g_{2}(u),I(a)=\kappa\int_0^{2a}\frac{u^{3}{2}g_{2}(u)
55,5a559fe73b.png,1,1,100.0,exact,73,73,E^{2}(R>>k)=\frac{2}{k}[j(j+1)-m^{2}+(m+\frac{kM}{2})^{2}\frac{1}{R^{2}}],E^{2}(R>>k)=\frac{2}{k}[j(j+1)-m^{2}+(m+\frac{kM}{2})^{2}\frac{1}{R^{2}}],E^{2}(R>>k)=\frac{2}{k}[j(j+1)-m^{2+(m+\frac{kM}{2)^{2}\frac{1}{R^{2],E^{2}(R>>k)=\frac{2}{k}[j(j+1)-m^{2+(m+\frac{kM}{2)^{2}\frac{1}{R^{2]
56,5e1d3cec87.png,0,1,98.425,canonical_equivalent,127,125,m_{C}^{2}=\langleg^{2}A_{\mu}^{a}A_{\mu}^{a}\rangle+\left({\frac{1}{2}}\alpha+\beta\right)\langleig^{2}\bar{C}^{a}C^{a}\rangle.,m_{C}^{2}=\langleg^{2}A_{\mu}^{a}A_{\mu}^{a}\rangle+\left(\frac{1}{2}\alpha+\beta\right)\langleig^{2}\bar{C}^{a}C^{a}\rangle.,m_C^{2=\langleg^{2}A_\mu^{a}A_\mu^{a}\rangle+(\frac{1}{2}\alpha+\beta)\langleig^{2}\barC^{a}C^{a}\rangle.,m_C^{2=\langleg^{2}A_\mu^{a}A_\mu^{a}\rangle+(\frac{1}{2}\alpha+\beta)\langleig^{2}\barC^{a}C^{a}\rangle.
57,53a1695e86.png,0,1,95.238,canonical_equivalent,40,42,"rank(b(x;\xi)q(x;\xi))=rank(q(x;\xi))=r,","rank(b(x;\xi)\;q(x;\xi))=rank(q(x;\xi))=r,","rank(b(x;\xi)q(x;\xi))=rank(q(x;\xi))=r,","rank(b(x;\xi)q(x;\xi))=rank(q(x;\xi))=r,"
58,e6b89266e6.png,1,1,100.0,exact,181,181,=\intd^{n}x\left\{\frac{1}{2}F_{\alpha\beta}F^{\alpha\beta}+\frac{1}{2}G_{\alpha\beta}G^{\alpha\beta}+2D_{\alpha}\phi^{\dagger}D^{\alpha}\phi+2(m^{2}-\phi^{\dagger}\phi)^{2}\right\},=\intd^{n}x\left\{\frac{1}{2}F_{\alpha\beta}F^{\alpha\beta}+\frac{1}{2}G_{\alpha\beta}G^{\alpha\beta}+2D_{\alpha}\phi^{\dagger}D^{\alpha}\phi+2(m^{2}-\phi^{\dagger}\phi)^{2}\right\},=\intd^{n}x\\frac{1}{2}F_{\alpha\beta}F^{\alpha\beta+\frac{1}{2}G_{\alpha\beta}G^{\alpha\beta+2D_{\alpha}\phi^{\dagger}D^{\alpha}\phi+2(m^{2-\phi^{\dagger}\phi)^{2}\},=\intd^{n}x\\frac{1}{2}F_{\alpha\beta}F^{\alpha\beta+\frac{1}{2}G_{\alpha\beta}G^{\alpha\beta+2D_{\alpha}\phi^{\dagger}D^{\alpha}\phi+2(m^{2-\phi^{\dagger}\phi)^{2}\}
59,599063d58b.png,1,1,100.0,exact,122,122,-\frac{T}{8\pi}\left(M_{W}\left(9M_{W}^{2}+\frac{3}{2}M_{H}^{2}\right)+\frac{3}{2}M_{H}^{3}\right)\intd^{3}x(H_{0}^{2}-1).,-\frac{T}{8\pi}\left(M_{W}\left(9M_{W}^{2}+\frac{3}{2}M_{H}^{2}\right)+\frac{3}{2}M_{H}^{3}\right)\intd^{3}x(H_{0}^{2}-1).,-\frac{T}{8\pi}(M_{W}(9M_W^{2+\frac{3}{2}M_H^{2)+\frac{3}{2}M_H^{3)\intd^{3}x(H_0^{2-1).,-\frac{T}{8\pi}(M_{W}(9M_W^{2+\frac{3}{2}M_H^{2)+\frac{3}{2}M_H^{3)\intd^{3}x(H_0^{2-1).
60,2fdd8e53dc.png,1,1,100.0,exact,77,77,V=i\left[\begin{array}{cc}{B}&{2\overline{{A}}}\{-2A}&{-B}\\end{array}\right],V=i\left[\begin{array}{cc}{B}&{2\overline{{A}}}\{-2A}&{-B}\\end{array}\right],V=i[\begin{array}{cc}{B}&{2\overline{{A}\{-2A}&{-B}\\end{array],V=i[\begin{array}{cc}{B}&{2\overline{{A}\{-2A}&{-B}\\end{array]
61,36f3afe9f3.png,0,0,91.979,semantic_or_token_error,187,173,\sum_{{\lambda}=1}^{2}{\epsilon}_{\mu}^{({\lambda})}(k){\epsilon}_{\nu}^{({\lambda})}(k)=-g_{{\mu}{\nu}}+\frac{n_{\mu}k_{\nu}+n_{\nu}k_{\mu}}{k_{-}}-n^{2}\frac{k_{\mu}k_{\nu}}{k_{-}^{2}}.,\sum_{\lambda=1}^{2}\epsilon_{\mu}^{(\lambda)}(k)\epsilon_{\nu}^{(\lambda)}(k)=-g_{\mu\nu}+\frac{n_{\mu}k_{\nu}+n_{\nu}k_{\mu}}{k_{-}}-n^{2}\frac{k_{\nu}k_{\nu}}{k_{-}^{2}}.,\sum_{{\lambda=1^{2}\epsilon_\mu^{({\lambda)}(k)\epsilon_\nu^{({\lambda)}(k)=-g_{{\mu}{\nu+\frac{n_{\mu}k_{\nu+n_{\nu}k_{\mu}{k_{--n^{2}\frac{k_{\mu}k_{\nu}{k_{-^{2}.,\sum_{\lambda=1^{2}\epsilon_\mu^{(\lambda)}(k)\epsilon_\nu^{(\lambda)}(k)=-g_{\mu\nu+\frac{n_{\mu}k_{\nu+n_{\nu}k_{\mu}{k_{--n^{2}\frac{k_{\nu}k_{\nu}{k_{-^{2}.
62,326031c68d.png,0,0,81.333,semantic_or_token_error,63,75,\epsilon_{\mathrm{vac}}=\left<\frac{\beta(g)}{8g}G\cdotG\right>,\epsilon_{\mathrm{vac}}=\left\langle\frac{\beta(g)}{8g}G\cdotG\right\rangle,\epsilon_\mathrm{vac=<\frac{\beta(g)}{8g}G\cdotG>,\epsilon_\mathrm{vac=\langle\frac{\beta(g)}{8g}G\cdotG\rangle
63,4cf2740914.png,1,1,100.0,exact,59,59,\tau_{j}=1-y\operatorname{exp}(i(\mu_{a}(2j)-\varepsilon)).,\tau_{j}=1-y\operatorname{exp}(i(\mu_{a}(2j)-\varepsilon)).,\tau_{j=1-y\operatorname{exp}(i(\mu_{a}(2j)-\varepsilon)).,\tau_{j=1-y\operatorname{exp}(i(\mu_{a}(2j)-\varepsilon)).
64,486d8b9515.png,1,1,100.0,exact,38,38,\alpha=\sum_{a=1}^{J}\alpha(a;\infty).,\alpha=\sum_{a=1}^{J}\alpha(a;\infty).,\alpha=\sum_{a=1^{J}\alpha(a;\infty).,\alpha=\sum_{a=1^{J}\alpha(a;\infty).
65,b80ef03527.png,0,0,87.402,semantic_or_token_error,127,115,E_{ADM}=\frac{1}{16\piG_{10}}\oint_{\infty}d\Sigma^{m}\lbrace{}^{\circ}D_{n}g_{mp}-{}^{\circ}D_{m}g_{np}\rbrace{}^{\circ}g^{np},E_{ADM}={\frac{1}{16\piG_{10}}}\oint_{\infty}d\Sigma^{m}\{^{\circ}D_{n}g_{mp}-{}^{\circ}D_{m}g_{np}\}^{\circ}g^{np},E_{ADM=\frac{1}{16\piG_{10}\oint_{\infty}d\Sigma^{m}\lbrace{^{\circ}D_{n}g_{mp-{^{\circ}D_{m}g_{np}\rbrace{^{\circ}g^{np},E_{ADM=\frac{1}{16\piG_{10}\oint_{\infty}d\Sigma^{m}\{^{\circ}D_{n}g_{mp-{^{\circ}D_{m}g_{np}\^{\circ}g^{np}
66,4d55385c75.png,1,1,100.0,exact,95,95,"J(x,y,M)=\mathrm{tr}\left\langlex\left|\Gamma_{5}\Gamma\frac{1}{\Theta+M}\right|y\right\rangle.","J(x,y,M)=\mathrm{tr}\left\langlex\left|\Gamma_{5}\Gamma\frac{1}{\Theta+M}\right|y\right\rangle.","J(x,y,M)=\mathrm{tr}\langlex|\Gamma_{5}\Gamma\frac{1}{\Theta+M}|y\rangle.","J(x,y,M)=\mathrm{tr}\langlex|\Gamma_{5}\Gamma\frac{1}{\Theta+M}|y\rangle."
67,438635c3bf.png,1,1,100.0,exact,72,72,\chi_{h}^{NS}(q)=\sumS_{h}^{h^{\prime}}\chi_{h^{\prime}}^{NS}(\tilde{q}),\chi_{h}^{NS}(q)=\sumS_{h}^{h^{\prime}}\chi_{h^{\prime}}^{NS}(\tilde{q}),\chi_h^{NS}(q)=\sumS_h^{h^{\prime}\chi_{h^\prime^{NS}(\tilde{q),\chi_h^{NS}(q)=\sumS_h^{h^{\prime}\chi_{h^\prime^{NS}(\tilde{q)
68,27fa6d2160.png,0,0,91.463,semantic_or_token_error,164,150,\mathrm{SpD}_{56}\left(E^{{\vec{\alpha}}_{5}}\right)=\left(\begin{array}{ll}{{\bf0}}&{B[{{\vec{\alpha}}_{5}}]}\{C[{{\vec{\alpha}}_{5}}]}&{{\bf0}}\\end{array}\right),\mathrm{SpD}_{56}\left(E^{\vec{\alpha}_{5}}\right)=\left(\begin{array}{ll}{{\bf0}[\vec{\alpha}_{5}]}\{C[\vec{\alpha}_{5}]}&{{\bf0}}\\end{array}\right),\mathrm{SpD_{56}(E^\vec\alpha_{5)=(\begin{array}{ll}{{\bf0}&{B[\vec\alpha_{5]}\{C[\vec\alpha_{5]}&{{\bf0}\\end{array),\mathrm{SpD_{56}(E^\vec\alpha_{5)=(\begin{array}{ll}{{\bf0}[\vec\alpha_{5]}\{C[\vec\alpha_{5]}&{{\bf0}\\end{array)
69,7010249b8a.png,0,1,97.222,canonical_equivalent,144,140,"\phi_{\epsilon}(\beta)={\sqrt{s}}(Q-i\betaP)+\sum_{k\neq0}{\frac{a_{k}}{i\operatorname{sinh}(\pik\epsilon)}}\operatorname{exp}(ik\epsilon\beta),","\phi_{\epsilon}(\beta)=\sqrt{s}(Q-i\betaP)+\sum_{k\neq0}\frac{a_{k}}{i\operatorname{sinh}(\pik\epsilon)}\operatorname{exp}(ik\epsilon\beta),","\phi_{\epsilon}(\beta)=\sqrt{s}(Q-i\betaP)+\sum_{k\neqq0}\frac{a_{k}{i\operatorname{sinh}(\pik\epsilon)}\operatorname{exp}(ik\epsilon\beta),","\phi_{\epsilon}(\beta)=\sqrt{s}(Q-i\betaP)+\sum_{k\neqq0}\frac{a_{k}{i\operatorname{sinh}(\pik\epsilon)}\operatorname{exp}(ik\epsilon\beta),"
70,1d320e1c45.png,0,1,94.366,canonical_equivalent,67,71,"r=\rho\;,\;\;f=1-\frac{\rho_{0}}{\rho}-\frac{\Lambda}{6}\rho^{2}\;.","r=\rho\;,\;\;f=1-{\frac{\rho_{0}}{\rho}}-{\frac{\Lambda}{6}}\rho^{2}\;.","r=\rho,f=1-\frac{\rho_{0}{\rho-\frac{\Lambda}{6}\rho^{2}.","r=\rho,f=1-\frac{\rho_{0}{\rho-\frac{\Lambda}{6}\rho^{2}."
71,5a51edfa94.png,0,1,86.034,canonical_equivalent,179,159,"{\calU}^{\prime\prime}+{\frac{2}{r}}{\calU}^{\prime}-\left({\calU}^{\prime}\right)^{2}={\frac{1}{4}}\,\left(h_{1}^{\prime}\right)^{2}+{\frac{1}{4}}\left(h_{2}^{\prime}\right)^{2},","{\calU}^{\prime\prime}+{\frac{2}{r}}{\calU}^{\prime}-({\calU}^{\prime})^{2}={\frac{1}{4}}\;(h_{1}^{\prime})^{2}+{\frac{1}{4}}\left(h_{2}^{\prime}\right)^{2}\,,","\calU^{\prime\prime+\frac{2}{r}\calU^{\prime-(\calU^{\prime)^{2=\frac{1}{4}(h_1^{\prime)^{2+\frac{1}{4}(h_2^{\prime)^{2,","\calU^{\prime\prime+\frac{2}{r}\calU^{\prime-(\calU^{\prime)^{2=\frac{1}{4}(h_1^{\prime)^{2+\frac{1}{4}(h_2^{\prime)^{2,"
72,9cd4f5f61f.png,0,0,64.486,too_short,107,69,\mathbf{\nabla\cdot}{\mathbf{K}}^{C}=4\pi{\mathbf{J}}^{C}\qquad\mathbf{\nabla\cdot}\;^{*}{\mathbf{K}}^{C}=0,\nabla\cdot{\bfK}^{C}=4\pi{\bfJ}^{C}\qquad\nabla\cdot^{*}{\bfK}^{C}=0,\mathbf{\nabla\cdot}\mathbfK^{C=4\pi\mathbfJ^{C}\mathbf{\nabla\cdot^{*}\mathbfK^{C=0,\nabla\cdot\bfK^{C=4\pi\bfJ^{C}\nabla\cdot^{*}\bfK^{C=0
73,746f9895f3.png,0,1,98.601,canonical_equivalent,143,141,\not\!\!D_{V}:{\calC}^{\infty}({\calS}^{\pm})\otimes{\calC}^{\infty}(V)\longrightarrow{\calC}^{\infty}({\calS}^{\mp})\otimes{\calC}^{\infty}(V),\not\!D_{V}:{\calC}^{\infty}({\calS}^{\pm})\otimes{\calC}^{\infty}(V)\longrightarrow{\calC}^{\infty}({\calS}^{\mp})\otimes{\calC}^{\infty}(V),\notD_{V}:\calC^{\infty}(\calS^{\pm)\otimes\calC^{\infty}(V)\longrightarrow\calC^{\infty}(\calS^{\mp)\otimes\calC^{\infty}(V),\notD_{V}:\calC^{\infty}(\calS^{\pm)\otimes\calC^{\infty}(V)\longrightarrow\calC^{\infty}(\calS^{\mp)\otimes\calC^{\infty}(V)
74,164f87aa84.png,1,1,100.0,exact,51,51,S\left(\hat{A}+\deltaA\right)=S\left(\hat{A}\right),S\left(\hat{A}+\deltaA\right)=S\left(\hat{A}\right),S(\hat{A+\deltaA)=S(\hat{A),S(\hat{A+\deltaA)=S(\hat{A)
75,28e6358ab6.png,1,1,100.0,exact,78,78,"p_{1}^{\mu}\,=\,m\,\frac{q_{2}^{\mu}}{\sqrt{q_{2}^{2}}}\,-\,(p_{1}b)\,b^{\mu}.","p_{1}^{\mu}\,=\,m\,\frac{q_{2}^{\mu}}{\sqrt{q_{2}^{2}}}\,-\,(p_{1}b)\,b^{\mu}.",p_1^{\mu=m\frac{q_2^{\mu}\sqrt{q_2^{2-(p_{1}b)b^{\mu}.,p_1^{\mu=m\frac{q_2^{\mu}\sqrt{q_2^{2-(p_{1}b)b^{\mu}.
76,4104802d8a.png,1,1,100.0,exact,205,205,"\int_{-\infty}^{\infty}\frac{dx}{(\gamma+x^{2})(\delta+x^{2})}=\frac{\pi}{\sqrt{\gamma\delta}(\sqrt{\gamma}+\sqrt{\delta})}=\frac{\pi}{\sqrt{\gamma\delta}}\frac{\sqrt{\delta}-\sqrt{\gamma}}{\delta-\gamma},","\int_{-\infty}^{\infty}\frac{dx}{(\gamma+x^{2})(\delta+x^{2})}=\frac{\pi}{\sqrt{\gamma\delta}(\sqrt{\gamma}+\sqrt{\delta})}=\frac{\pi}{\sqrt{\gamma\delta}}\frac{\sqrt{\delta}-\sqrt{\gamma}}{\delta-\gamma},","\int_{-\infty^{\infty}\frac{dx}{(\gamma+x^{2)(\delta+x^{2)=\frac{\pi}\sqrt{\gamma\delta}(\sqrt{\gamma+\sqrt{\delta)=\frac{\pi}\sqrt{\gamma\delta}\frac\sqrt{\delta-\sqrt{\gamma}{\delta-\gamma,","\int_{-\infty^{\infty}\frac{dx}{(\gamma+x^{2)(\delta+x^{2)=\frac{\pi}\sqrt{\gamma\delta}(\sqrt{\gamma+\sqrt{\delta)=\frac{\pi}\sqrt{\gamma\delta}\frac\sqrt{\delta-\sqrt{\gamma}{\delta-\gamma,"
77,367fda4d81.png,0,1,93.548,canonical_equivalent,62,58,"\delta_{\epsilon}\Psi=\epsilon\star\Psi-\Psi\star\epsilon\,\,.",\delta_{\epsilon}\Psi=\epsilon\star\Psi-\Psi\star\epsilon.,\delta_{\epsilon}\Psi=\epsilon\star\Psi-\Psi\star\epsilon.,\delta_{\epsilon}\Psi=\epsilon\star\Psi-\Psi\star\epsilon.
78,5cb46bae1b.png,0,1,74.419,canonical_equivalent,43,32,"\left[a,b,c\right]=abc+bca+cab-cba-acb-bac,","[a,b,c]=abc+bca+cab-cba-acb-bac,","[a,b,c]=abc+bca+cab-cba-acb-bac,","[a,b,c]=abc+bca+cab-cba-acb-bac,"
79,4785815348.png,1,1,100.0,exact,97,97,"Z_{R}^{(m,n)}=\frac{1}{4}\sum_{e}C_{e}(m,n)\frac{\theta^{4}[e]}{\eta^{12}}\Theta_{(m,n)}(0|\tau);","Z_{R}^{(m,n)}=\frac{1}{4}\sum_{e}C_{e}(m,n)\frac{\theta^{4}[e]}{\eta^{12}}\Theta_{(m,n)}(0|\tau);","Z_R^{(m,n)=\frac{1}{4}\sum_{e}C_{e}(m,n)\frac{\theta^{4}[e]}{\eta^{12}\Theta_{(m,n)}(0|\tau);","Z_R^{(m,n)=\frac{1}{4}\sum_{e}C_{e}(m,n)\frac{\theta^{4}[e]}{\eta^{12}\Theta_{(m,n)}(0|\tau);"
80,337e111a56.png,0,0,91.398,semantic_or_token_error,93,85,"{ds}^{2}=-V(U){dt}^{2}+\frac{{dU}^{2}}{V(U)}+\frac{U^{2}}{R^{2}}\sum_{i=1}^{n-1}{dx}_{i}^{2},","ds^{2}=-V(U)dt^{2}+\frac{dU^{2}}{V(U)}+\frac{U^{2}}{R^{2}}\sum_{i=1}^{n-1}dx_{i}^{2},","{ds^{2=-V(U){dt^{2+\frac{{dU^{2}{V(U)+\frac{U^{2}{R^{2}\sum_{i=1^{n-1}{dx_i^{2,","ds^{2=-V(U)dt^{2+\frac{dU^{2}{V(U)+\frac{U^{2}{R^{2}\sum_{i=1^{n-1}dx_i^{2,"
81,258c8bd5b9.png,1,1,100.0,exact,76,76,"{\calL}_{0}=-\frac{1}{4}F_{\mu\nu}F^{\mu\nu}+\frac{1}{2}m^{2}A_{\mu}A^{\mu},","{\calL}_{0}=-\frac{1}{4}F_{\mu\nu}F^{\mu\nu}+\frac{1}{2}m^{2}A_{\mu}A^{\mu},","\calL_{0=-\frac{1}{4}F_{\mu\nu}F^{\mu\nu+\frac{1}{2}m^{2}A_{\mu}A^{\mu,","\calL_{0=-\frac{1}{4}F_{\mu\nu}F^{\mu\nu+\frac{1}{2}m^{2}A_{\mu}A^{\mu,"
82,6e8c365fae.png,1,1,100.0,exact,73,73,"F_{\mu\nu}=2u_{\mu;\nu}~~,~~h_{\mu}^{\lambda}F_{\lambda\nu}=F_{\mu\nu}~~,","F_{\mu\nu}=2u_{\mu;\nu}~~,~~h_{\mu}^{\lambda}F_{\lambda\nu}=F_{\mu\nu}~~,","F_{\mu\nu=2u_{\mu;\nu}~~,~~h_\mu^{\lambda}F_{\lambda\nu=F_{\mu\nu}~~,","F_{\mu\nu=2u_{\mu;\nu}~~,~~h_\mu^{\lambda}F_{\lambda\nu=F_{\mu\nu}~~,"
83,2eb64798cb.png,0,0,86.932,semantic_or_token_error,176,161,"\epsilon(g=0)=H^{-1/8}e^{-{\frac{1}{2}}\gamma_{\overline{{\thetar}}}}e^{-{\frac{1}{2}}\gamma_{\overline{{\phi\theta}}}}(1-\eta\gamma_{\overline{{0}}}\epsilon^{ij})\epsilon_{0},","\epsilon(g=0)=H^{-1/8}e^{-{\frac{1}{2}}\gamma_{\thetar}}e^{-{\frac{1}{2}}\gamma_{\phi\overline{{\phi}}}}(1-\eta\gamma_{\overline{{0}}}\epsilon^{ij})\epsilon_{0},","\epsilon(g=0)=H^{-1/8}e^{-\frac{1}{2}\gamma_{\overline{{\thetar}e^{-\frac{1}{2}\gamma_{\overline{{\phi\theta}(1-\eta\gamma_{\overline{{0}\epsilon^{ij)\epsilon_{0,","\epsilon(g=0)=H^{-1/8}e^{-\frac{1}{2}\gamma_{\thetar}e^{-\frac{1}{2}\gamma_{\phi\overline{{\phi}(1-\eta\gamma_{\overline{{0}\epsilon^{ij)\epsilon_{0,"
84,48fec62a05.png,0,0,97.826,almost_correct,92,90,{\cal{L}}=-\bar{\psi}~\gamma_{\mu}\partial^{\mu}\psi-m~\bar{\psi}W\psi+\mathrm{meson~~terms},{\calL}=-\bar{\psi}~\gamma_{\mu}\partial^{\mu}\psi-m~\bar{\psi}W\psi+\mathrm{meson~~terms},\cal{L=-\bar{\psi}~\gamma_{\mu}\partial^{\mu}\psi-m~\bar{\psi}W\psi+\mathrm{meson~~terms,\calL=-\bar{\psi}~\gamma_{\mu}\partial^{\mu}\psi-m~\bar{\psi}W\psi+\mathrm{meson~~terms
85,1793232a11.png,1,1,100.0,exact,133,133,(\dot{a}_{\perp})_{\mu}(\dot{a}_{\perp})^{\mu}=-(a_{\perp})_{\mu}[g^{\mu\nu}\partial_{\tau}^{2}](a_{\perp})_{\nu}+\mathrm{divergence},(\dot{a}_{\perp})_{\mu}(\dot{a}_{\perp})^{\mu}=-(a_{\perp})_{\mu}[g^{\mu\nu}\partial_{\tau}^{2}](a_{\perp})_{\nu}+\mathrm{divergence},(\dota_{\perp)_{\mu}(\dota_{\perp)^{\mu=-(a_{\perp)_{\mu}[g^{\mu\nu}\partial_\tau^{2](a_{\perp)_{\nu+\mathrm{divergence},(\dota_{\perp)_{\mu}(\dota_{\perp)^{\mu=-(a_{\perp)_{\mu}[g^{\mu\nu}\partial_\tau^{2](a_{\perp)_{\nu+\mathrm{divergence}
86,1ffb93fb54.png,1,1,100.0,exact,127,127,"\Psi_{2}(\lambda_{1},\lambda_{2})=B_{1}(\lambda_{1})B_{1}(\lambda_{2})\left|0\right\rangle-\frac{1}{y(\lambda_{1}-\lambda_{2})}","\Psi_{2}(\lambda_{1},\lambda_{2})=B_{1}(\lambda_{1})B_{1}(\lambda_{2})\left|0\right\rangle-\frac{1}{y(\lambda_{1}-\lambda_{2})}","\Psi_{2}(\lambda_{1,\lambda_{2)=B_{1}(\lambda_{1)B_{1}(\lambda_{2)|0\rangle-\frac{1}{y(\lambda_{1-\lambda_{2)}","\Psi_{2}(\lambda_{1,\lambda_{2)=B_{1}(\lambda_{1)B_{1}(\lambda_{2)|0\rangle-\frac{1}{y(\lambda_{1-\lambda_{2)}"
87,5ce45827e1.png,0,0,93.684,semantic_or_token_error,95,89,{\partial_{\lambda}}F_{\mu\nu}+{\partial_{\mu}}F_{\nu\lambda}+{\partial_{\nu}}F_{\lambda\mu}=0.,\partial_{\lambda}F_{\mu\nu}+\partial_{\mu}F_{\nu\lambda}+\partial_{\nu}F_{\lambda\mu}=0.,{\partial_{\lambda}F_{\mu\nu+{\partial_{\mu}F_{\nu\lambda+{\partial_{\nu}F_{\lambda\mu=0.,\partial_{\lambda}F_{\mu\nu+\partial_{\mu}F_{\nu\lambda+\partial_{\nu}F_{\lambda\mu=0.
88,80781d2893.png,0,1,96.154,canonical_equivalent,52,50,\alpha=-{\frac{1}{8(3+8\operatorname{ln}2)\pi^{2}}}.,\alpha=-\frac{1}{8(3+8\operatorname{ln}2)\pi^{2}}.,\alpha=-\frac{1}{8(3+8\operatorname{ln}2)\pi^{2}.,\alpha=-\frac{1}{8(3+8\operatorname{ln}2)\pi^{2}.
